,Title,Author,Rating,Number of users rated,Price
0,On the House: A Washington Memoir,John Boehner,0.0,0,17.99
1,The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today,Shannon Bream,4.9,432,15.94
2,The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,4.9,1412,9.72
3,Dog Man: Mothering Heights: From the Creator of Captain Underpants (Dog Man #10) (10),Dav Pilkey,4.9,2124,8.38
4,I Love You to the Moon and Back,Amelia Hepworth,4.9,29342,1.4
5,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,37004,11.98
6,The Midnight Library: A Novel,Matt Haig,4.4,55778,13.33
7,The Four Winds: A Novel,Kristin Hannah,4.6,31527,17.39
8,If Animals Kissed Good Night,Ann Whitford Paul,4.8,44261,4.44
9,The 48 Laws of Power,Robert Greene,4.7,21484,12.95
10,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.8,51898,5.41
11,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7,46018,6.51
12,The God Equation: The Quest for a Theory of Everything,Michio Kaku,4.2,36,13.99
13,The Very Hungry Caterpillar,Eric Carle,4.9,39389,1.21
14,My Dog Mattis,Mark Tappan,5.0,79,16.99
15,Beautiful Things: A Memoir,Hunter Biden,4.3,128,16.87
16,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,27321,11.5
17,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.9,67241,14.03
18,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8,50156,5.51
19,Finding Freedom: A Cook's Story; Remaking a Life from Scratch,Erin French,4.4,73,16.8
20,Woman Evolve: Break Up with Your Fears and Revolutionize Your Life,Sarah Jakes Roberts,5.0,144,15.3
21,"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",Dr. Nicole LePera,4.8,1181,16.79
22,Faucian Bargain: The Most Powerful and Dangerous Bureaucrat in American History,Steve Deace,4.8,1063,13.56
23,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,27966,5.0
24,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,4.7,967,21.0
25,They Both Die at the End,Adam Silvera,4.7,8501,8.37
26,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21120,8.98
27,"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are",Megan Logan MSW LCSW,4.7,2173,9.59
28,Own It: The Secret to Life,Diane von Furstenberg,4.2,57,12.95
29,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,48265,2.0
30,How to Cook That: Crazy Sweet Creations,Ann Reardon,0.0,0,25.16
31,"The Complete Mediterranean Cookbook: 500 Vibrant, Kitchen-Tested Recipes for Living and Eating Well Every Day (The Complete ATK Cookbook Series)",America's Test Kitchen,4.5,9021,14.86
32,"The Unofficial Disney Parks Cookbook: From Delicious Dole Whip to Tasty Mickey Pretzels, 100 Magical Disney-Inspired Recipes (Unofficial Cookbook)",Ashley Craft,4.8,5898,11.99
33,Greenlights,Matthew McConaughey,4.7,33533,16.95
34,The Hero Code: Lessons Learned from Lives Well Lived,Admiral William H. McRaven,0.0,0,15.49
35,Broken Horses: A Memoir,Brandi Carlile,4.8,33,16.86
36,Goodnight Moon,Margaret Wise Brown,4.9,16157,0.35
37,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,0.0,0,25.91
38,Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,Karen Frazier,4.8,15633,9.98
39,The Song of Achilles: A Novel,Madeline Miller,4.7,16590,8.98
40,Untamed,Glennon Doyle,4.6,46282,8.57
41,Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8,26180,18.75
42,My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,4.6,19792,15.51
43,Fault Lines: The Social Justice Movement and Evangelicalism's Looming Catastrophe,Voddie T. Baucham Jr.,4.9,303,16.56
44,Rand McNally 2021 Large Scale Road Atlas (Rand McNally Road Atlas),Rand McNally,4.8,14069,17.96
45,Northern Spy: A Novel,Flynn Berry,4.4,25,16.04
46,Love You Forever,Robert Munsch,4.9,33946,0.35
47,Magnolia Table,Joanna Gaines,4.8,21989,16.59
48,Beyond Order: 12 More Rules for Life,Jordan B. Peterson,4.9,2576,17.4
49,We Were Liars,E. Lockhart,4.6,20731,5.99
50,Burn After Writing (Pink),Sharon Jones,4.7,9962,7.0
51,"Eat Better, Feel Better: My Recipes for Wellness and Healing, Inside and Out",Giada De Laurentiis,4.5,361,21.99
